a,b,expr,sum
625,730,625+730,1355
59,843,59+843,902
494,697,494+697,1191
667,886,667+886,1553
323,62,323+62,385
723,751,723+751,1474
468,619,468+619,1087
665,377,665+377,1042
115,958,115+958,1073
958,280,958+280,1238
693,784,693+784,1477
426,822,426+822,1248
53,131,53+131,184
958,201,958+201,1159
148,944,148+944,1092
826,565,826+565,1391
159,65,159+65,224
139,386,139+386,525
627,876,627+876,1503
530,316,530+316,846
823,219,823+219,1042
738,425,738+425,1163
18,293,18+293,311
926,884,926+884,1810
665,255,665+255,920
401,880,401+880,1281
207,666,207+666,873
706,410,706+410,1116
506,815,506+815,1321
879,687,879+687,1566
779,5,779+5,784
140,666,140+666,806
868,799,868+799,1667
525,268,525+268,793
79,341,79+341,420
964,55,964+55,1019
357,87,357+87,444
922,625,922+625,1547
886,627,886+627,1513
123,957,123+957,1080
665,672,665+672,1337
504,269,504+269,773
998,610,998+610,1608
673,719,673+719,1392
412,111,412+111,523
415,503,415+503,918
20,118,20+118,138
893,118,893+118,1011
500,358,500+358,858
208,821,208+821,1029
982,273,982+273,1255
472,887,472+887,1359
347,679,347+679,1026
350,251,350+251,601
926,491,926+491,1417
244,641,244+641,885
846,306,846+306,1152
836,476,836+476,1312
42,225,42+225,267
887,693,887+693,1580
386,344,386+344,730
889,323,889+323,1212
581,943,581+943,1524
615,890,615+890,1505
632,171,632+171,803
873,282,873+282,1155
30,456,30+456,486
775,864,775+864,1639
279,883,279+883,1162
513,645,513+645,1158
930,814,930+814,1744
180,355,180+355,535
459,311,459+311,770
785,266,785+266,1051
545,175,545+175,720
284,474,284+474,758
808,896,808+896,1704
523,248,523+248,771
390,408,390+408,798
202,328,202+328,530
375,386,375+386,761
379,342,379+342,721
965,742,965+742,1707
157,371,157+371,528
650,277,650+277,927
618,30,618+30,648
330,212,330+212,542
893,356,893+356,1249
534,40,534+40,574
493,432,493+432,925
523,923,523+923,1446
833,212,833+212,1045
550,22,550+22,572
515,93,515+93,608
107,881,107+881,988
137,682,137+682,819
351,669,351+669,1020
127,362,127+362,489
196,836,196+836,1032
579,958,579+958,1537
338,605,338+605,943
739,780,739+780,1519
51,360,51+360,411
646,525,646+525,1171
522,497,522+497,1019
87,736,87+736,823
640,38,640+38,678
585,969,585+969,1554
130,161,130+161,291
926,191,926+191,1117
407,15,407+15,422
919,466,919+466,1385
410,84,410+84,494
356,805,356+805,1161
522,863,522+863,1385
212,538,212+538,750
368,802,368+802,1170
531,822,531+822,1353
387,483,387+483,870
481,245,481+245,726
506,693,506+693,1199
43,247,43+247,290
130,331,130+331,461
660,513,660+513,1173
832,476,832+476,1308
919,118,919+118,1037
773,775,773+775,1548
185,235,185+235,420
92,618,92+618,710
7,449,7+449,456
323,125,323+125,448
762,5,762+5,767
367,306,367+306,673
520,699,520+699,1219
172,810,172+810,982
575,390,575+390,965
155,81,155+81,236
552,952,552+952,1504
543,63,543+63,606
548,387,548+387,935
662,515,662+515,1177
734,776,734+776,1510
598,774,598+774,1372
554,26,554+26,580
40,308,40+308,348
238,943,238+943,1181
471,876,471+876,1347
129,331,129+331,460
690,966,690+966,1656
867,301,867+301,1168
350,837,350+837,1187
758,622,758+622,1380
78,555,78+555,633
873,606,873+606,1479
241,359,241+359,600
288,940,288+940,1228
887,936,887+936,1823
568,90,568+90,658
359,59,359+59,418
478,56,478+56,534
286,159,286+159,445
346,893,346+893,1239
699,12,699+12,711
115,646,115+646,761
665,107,665+107,772
873,734,873+734,1607
789,588,789+588,1377
871,103,871+103,974
469,976,469+976,1445
230,364,230+364,594
20,407,20+407,427
71,466,71+466,537
541,743,541+743,1284
748,310,748+310,1058
942,990,942+990,1932
743,975,743+975,1718
800,707,800+707,1507
857,75,857+75,932
690,895,690+895,1585
925,9,925+9,934
800,901,800+901,1701
44,299,44+299,343
424,892,424+892,1316
597,770,597+770,1367
669,900,669+900,1569
10,124,10+124,134
766,529,766+529,1295
67,378,67+378,445
743,226,743+226,969
246,56,246+56,302
467,368,467+368,835
356,514,356+514,870
22,327,22+327,349
525,811,525+811,1336
185,738,185+738,923
376,506,376+506,882
122,82,122+82,204
836,905,836+905,1741
791,890,791+890,1681
879,120,879+120,999
111,532,111+532,643
96,91,96+91,187
272,485,272+485,757
774,534,774+534,1308
661,599,661+599,1260
844,545,844+545,1389
111,71,111+71,182
241,978,241+978,1219
323,462,323+462,785
426,262,426+262,688
468,447,468+447,915
795,72,795+72,867
186,620,186+620,806
174,962,174+962,1136
564,807,564+807,1371
107,901,107+901,1008
96,887,96+887,983
408,51,408+51,459
758,943,758+943,1701
679,929,679+929,1608
652,398,652+398,1050
789,37,789+37,826
711,188,711+188,899
786,307,786+307,1093
802,353,802+353,1155
121,53,121+53,174
943,610,943+610,1553
460,146,460+146,606
597,775,597+775,1372
796,860,796+860,1656
23,451,23+451,474
6,84,6+84,90
115,955,115+955,1070
918,784,918+784,1702
398,493,398+493,891
502,626,502+626,1128
545,518,545+518,1063
751,514,751+514,1265
160,441,160+441,601
825,263,825+263,1088
797,265,797+265,1062
313,400,313+400,713
741,339,741+339,1080
990,902,990+902,1892
983,143,983+143,1126
63,678,63+678,741
294,283,294+283,577
496,299,496+299,795
252,411,252+411,663
670,128,670+128,798
37,605,37+605,642
774,257,774+257,1031
320,955,320+955,1275
328,827,328+827,1155
265,839,265+839,1104
936,233,936+233,1169
553,273,553+273,826
731,637,731+637,1368
507,429,507+429,936
544,46,544+46,590
317,262,317+262,579
477,658,477+658,1135
724,112,724+112,836
938,691,938+691,1629
245,229,245+229,474
495,377,495+377,872
291,875,291+875,1166
118,350,118+350,468
812,756,812+756,1568
278,4,278+4,282
463,554,463+554,1017
674,909,674+909,1583
541,951,541+951,1492
154,788,154+788,942
661,967,661+967,1628
449,767,449+767,1216
474,868,474+868,1342
285,281,285+281,566
559,548,559+548,1107
93,859,93+859,952
49,828,49+828,877
736,75,736+75,811
181,468,181+468,649
322,435,322+435,757
855,292,855+292,1147
651,751,651+751,1402
512,48,512+48,560
485,143,485+143,628
860,363,860+363,1223
742,767,742+767,1509
99,196,99+196,295
115,76,115+76,191
811,488,811+488,1299
723,185,723+185,908
483,548,483+548,1031
503,600,503+600,1103
342,252,342+252,594
359,383,359+383,742
592,562,592+562,1154
922,768,922+768,1690
165,941,165+941,1106
393,966,393+966,1359
491,150,491+150,641
766,162,766+162,928
562,48,562+48,610
812,531,812+531,1343
586,204,586+204,790
52,184,52+184,236
538,18,538+18,556
303,295,303+295,598
793,607,793+607,1400
546,768,546+768,1314
786,531,786+531,1317
83,732,83+732,815
978,35,978+35,1013
906,11,906+11,917
726,311,726+311,1037
731,674,731+674,1405
731,840,731+840,1571
924,571,924+571,1495
892,318,892+318,1210
162,208,162+208,370
780,516,780+516,1296
484,724,484+724,1208
620,557,620+557,1177
171,111,171+111,282
694,980,694+980,1674
182,410,182+410,592
891,997,891+997,1888
830,579,830+579,1409
509,622,509+622,1131
920,764,920+764,1684
489,388,489+388,877
366,754,366+754,1120
940,754,940+754,1694
963,913,963+913,1876
261,806,261+806,1067
17,513,17+513,530
584,682,584+682,1266
836,190,836+190,1026
490,17,490+17,507
891,413,891+413,1304
931,316,931+316,1247
735,67,735+67,802
110,762,110+762,872
755,215,755+215,970
94,352,94+352,446
222,461,222+461,683
760,36,760+36,796
154,633,154+633,787
863,848,863+848,1711
126,984,126+984,1110
61,349,61+349,410
440,365,440+365,805
755,585,755+585,1340
121,211,121+211,332
3,553,3+553,556
416,857,416+857,1273
963,556,963+556,1519
68,40,68+40,108
565,157,565+157,722
327,824,327+824,1151
559,341,559+341,900
146,764,146+764,910
453,236,453+236,689
207,578,207+578,785
847,223,847+223,1070
642,575,642+575,1217
678,481,678+481,1159
488,102,488+102,590
726,629,726+629,1355
934,574,934+574,1508
522,88,522+88,610
645,585,645+585,1230
55,574,55+574,629
312,201,312+201,513
52,523,52+523,575
735,494,735+494,1229
459,537,459+537,996
946,828,946+828,1774
484,997,484+997,1481
143,125,143+125,268
949,139,949+139,1088
631,56,631+56,687
228,314,228+314,542
985,976,985+976,1961
611,611,611+611,1222
900,819,900+819,1719
883,690,883+690,1573
269,472,269+472,741
548,948,548+948,1496
6,351,6+351,357
27,452,27+452,479
302,631,302+631,933
185,862,185+862,1047
180,685,180+685,865
782,126,782+126,908
643,808,643+808,1451
673,534,673+534,1207
974,344,974+344,1318
911,33,911+33,944
947,379,947+379,1326
420,419,420+419,839
84,612,84+612,696
453,351,453+351,804
403,511,403+511,914
636,995,636+995,1631
594,172,594+172,766
119,701,119+701,820
484,66,484+66,550
986,805,986+805,1791
586,871,586+871,1457
777,851,777+851,1628
559,356,559+356,915
474,517,474+517,991
833,699,833+699,1532
506,196,506+196,702
166,849,166+849,1015
152,362,152+362,514
274,464,274+464,738
577,228,577+228,805
162,981,162+981,1143
472,815,472+815,1287
918,953,918+953,1871
939,21,939+21,960
241,213,241+213,454
185,204,185+204,389
545,338,545+338,883
760,707,760+707,1467
254,148,254+148,402
946,478,946+478,1424
692,533,692+533,1225
152,181,152+181,333
425,808,425+808,1233
512,318,512+318,830
157,250,157+250,407
884,450,884+450,1334
918,165,918+165,1083
14,449,14+449,463
865,414,865+414,1279
693,150,693+150,843
547,580,547+580,1127
105,114,105+114,219
158,24,158+24,182
615,878,615+878,1493
539,754,539+754,1293
528,698,528+698,1226
798,481,798+481,1279
936,493,936+493,1429
539,700,539+700,1239
825,69,825+69,894
919,350,919+350,1269
428,929,428+929,1357
795,358,795+358,1153
358,179,358+179,537
38,304,38+304,342
660,512,660+512,1172
918,913,918+913,1831
714,368,714+368,1082
138,941,138+941,1079
731,386,731+386,1117
279,221,279+221,500
491,559,491+559,1050
790,249,790+249,1039
627,77,627+77,704
675,560,675+560,1235
915,249,915+249,1164
731,797,731+797,1528
435,474,435+474,909
84,76,84+76,160
872,989,872+989,1861
29,579,29+579,608
681,938,681+938,1619
486,144,486+144,630
615,724,615+724,1339
67,99,67+99,166
937,266,937+266,1203
60,208,60+208,268
121,337,121+337,458
760,761,760+761,1521
776,795,776+795,1571
935,370,935+370,1305
556,199,556+199,755
705,359,705+359,1064
284,266,284+266,550
180,339,180+339,519
581,570,581+570,1151
469,741,469+741,1210
112,363,112+363,475
506,187,506+187,693
657,95,657+95,752
774,704,774+704,1478
244,220,244+220,464
703,27,703+27,730
655,537,655+537,1192
873,432,873+432,1305
724,848,724+848,1572
436,621,436+621,1057
482,907,482+907,1389
692,675,692+675,1367
221,779,221+779,1000
288,632,288+632,920
945,683,945+683,1628
929,990,929+990,1919
223,620,223+620,843
313,866,313+866,1179
524,480,524+480,1004
697,566,697+566,1263
763,386,763+386,1149
770,115,770+115,885
452,548,452+548,1000
108,663,108+663,771
635,550,635+550,1185
229,393,229+393,622
513,355,513+355,868
796,841,796+841,1637
590,131,590+131,721
449,347,449+347,796
705,815,705+815,1520
976,66,976+66,1042
897,191,897+191,1088
435,84,435+84,519
533,373,533+373,906
129,379,129+379,508
998,525,998+525,1523
449,704,449+704,1153
291,420,291+420,711
36,598,36+598,634
327,458,327+458,785
403,702,403+702,1105
975,378,975+378,1353
676,842,676+842,1518
619,609,619+609,1228
537,408,537+408,945
653,771,653+771,1424
294,794,294+794,1088
19,281,19+281,300
920,704,920+704,1624
330,208,330+208,538
975,65,975+65,1040
834,880,834+880,1714
277,797,277+797,1074
361,451,361+451,812
410,884,410+884,1294
99,55,99+55,154
120,714,120+714,834
600,944,600+944,1544
580,592,580+592,1172
678,636,678+636,1314
252,711,252+711,963
716,560,716+560,1276
534,209,534+209,743
226,361,226+361,587
625,426,625+426,1051
805,594,805+594,1399
903,554,903+554,1457
973,631,973+631,1604
60,872,60+872,932
900,756,900+756,1656
991,530,991+530,1521
928,115,928+115,1043
278,465,278+465,743
243,739,243+739,982
784,999,784+999,1783
844,984,844+984,1828
493,580,493+580,1073
360,531,360+531,891
323,697,323+697,1020
526,203,526+203,729
335,385,335+385,720
850,86,850+86,936
660,922,660+922,1582
797,361,797+361,1158
168,80,168+80,248
375,926,375+926,1301
107,711,107+711,818
556,919,556+919,1475
353,314,353+314,667
16,535,16+535,551
10,516,10+516,526
678,72,678+72,750
173,923,173+923,1096
618,810,618+810,1428
478,456,478+456,934
177,995,177+995,1172
663,594,663+594,1257
585,719,585+719,1304
463,57,463+57,520
592,539,592+539,1131
887,789,887+789,1676
521,64,521+64,585
951,814,951+814,1765
464,381,464+381,845
833,120,833+120,953
309,559,309+559,868
974,356,974+356,1330
779,167,779+167,946
209,990,209+990,1199
729,536,729+536,1265
745,281,745+281,1026
25,531,25+531,556
624,260,624+260,884
314,189,314+189,503
44,540,44+540,584
397,889,397+889,1286
832,379,832+379,1211
526,129,526+129,655
866,566,866+566,1432
733,402,733+402,1135
687,629,687+629,1316
692,990,692+990,1682
456,308,456+308,764
658,544,658+544,1202
186,311,186+311,497
893,749,893+749,1642
735,356,735+356,1091
213,328,213+328,541
318,704,318+704,1022
132,89,132+89,221
12,192,12+192,204
390,803,390+803,1193
986,414,986+414,1400
452,448,452+448,900
362,809,362+809,1171
805,173,805+173,978
31,207,31+207,238
706,347,706+347,1053
101,294,101+294,395
213,254,213+254,467
802,279,802+279,1081
673,560,673+560,1233
519,517,519+517,1036
213,832,213+832,1045
898,103,898+103,1001
703,113,703+113,816
268,324,268+324,592
111,230,111+230,341
25,397,25+397,422
751,851,751+851,1602
116,109,116+109,225
704,883,704+883,1587
205,902,205+902,1107
829,407,829+407,1236
26,895,26+895,921
418,832,418+832,1250
928,503,928+503,1431
897,26,897+26,923
495,51,495+51,546
889,359,889+359,1248
267,951,267+951,1218
308,961,308+961,1269
411,816,411+816,1227
888,869,888+869,1757
137,674,137+674,811
739,514,739+514,1253
697,236,697+236,933
39,9,39+9,48
644,306,644+306,950
457,28,457+28,485
451,658,451+658,1109
546,815,546+815,1361
490,225,490+225,715
150,422,150+422,572
279,550,279+550,829
363,283,363+283,646
264,259,264+259,523
583,326,583+326,909
47,989,47+989,1036
206,156,206+156,362
423,335,423+335,758
992,884,992+884,1876
948,119,948+119,1067
489,178,489+178,667
626,529,626+529,1155
986,58,986+58,1044
273,252,273+252,525
682,514,682+514,1196
193,292,193+292,485
221,582,221+582,803
847,562,847+562,1409
770,207,770+207,977
15,566,15+566,581
686,879,686+879,1565
881,862,881+862,1743
25,840,25+840,865
43,724,43+724,767
898,389,898+389,1287
799,327,799+327,1126
595,17,595+17,612
158,337,158+337,495
574,36,574+36,610
915,732,915+732,1647
916,353,916+353,1269
884,558,884+558,1442
386,645,386+645,1031
282,522,282+522,804
474,185,474+185,659
36,45,36+45,81
164,280,164+280,444
238,505,238+505,743
510,103,510+103,613
428,791,428+791,1219
825,156,825+156,981
5,819,5+819,824
519,643,519+643,1162
644,202,644+202,846
374,957,374+957,1331
820,815,820+815,1635
213,117,213+117,330
822,687,822+687,1509
223,50,223+50,273
281,730,281+730,1011
29,782,29+782,811
197,305,197+305,502
641,173,641+173,814
438,664,438+664,1102
528,833,528+833,1361
608,568,608+568,1176
420,27,420+27,447
234,520,234+520,754
502,765,502+765,1267
473,737,473+737,1210
826,377,826+377,1203
497,987,497+987,1484
382,830,382+830,1212
402,615,402+615,1017
470,214,470+214,684
361,534,361+534,895
959,562,959+562,1521
709,47,709+47,756
813,784,813+784,1597
41,486,41+486,527
263,579,263+579,842
186,373,186+373,559
408,690,408+690,1098
360,166,360+166,526
140,512,140+512,652
16,652,16+652,668
881,317,881+317,1198
791,84,791+84,875
420,582,420+582,1002
697,600,697+600,1297
961,813,961+813,1774
622,733,622+733,1355
438,454,438+454,892
167,780,167+780,947
27,93,27+93,120
218,332,218+332,550
540,861,540+861,1401
410,163,410+163,573
246,372,246+372,618
464,205,464+205,669
446,890,446+890,1336
915,596,915+596,1511
403,103,403+103,506
46,758,46+758,804
290,674,290+674,964
994,342,994+342,1336
331,382,331+382,713
461,43,461+43,504
732,40,732+40,772
307,964,307+964,1271
421,581,421+581,1002
383,159,383+159,542
203,549,203+549,752
969,797,969+797,1766
433,735,433+735,1168
221,5,221+5,226
24,587,24+587,611
589,554,589+554,1143
220,678,220+678,898
474,122,474+122,596
260,275,260+275,535
370,826,370+826,1196
499,86,499+86,585
229,148,229+148,377
405,621,405+621,1026
506,177,506+177,683
942,3,942+3,945
162,592,162+592,754
663,972,663+972,1635
336,338,336+338,674
859,283,859+283,1142
246,902,246+902,1148
961,825,961+825,1786
519,25,519+25,544
373,23,373+23,396
35,181,35+181,216
632,407,632+407,1039
909,985,909+985,1894
989,46,989+46,1035
630,423,630+423,1053
21,995,21+995,1016
108,180,108+180,288
256,50,256+50,306
67,585,67+585,652
223,672,223+672,895
921,886,921+886,1807
72,836,72+836,908
466,905,466+905,1371
729,341,729+341,1070
403,380,403+380,783
367,170,367+170,537
486,980,486+980,1466
666,688,666+688,1354
292,155,292+155,447
305,206,305+206,511
636,436,636+436,1072
503,275,503+275,778
365,118,365+118,483
532,594,532+594,1126
632,199,632+199,831
812,274,812+274,1086
108,287,108+287,395
53,416,53+416,469
460,896,460+896,1356
185,992,185+992,1177
588,935,588+935,1523
354,73,354+73,427
778,98,778+98,876
933,619,933+619,1552
753,374,753+374,1127
684,394,684+394,1078
86,843,86+843,929
674,382,674+382,1056
909,682,909+682,1591
884,324,884+324,1208
316,959,316+959,1275
416,709,416+709,1125
128,966,128+966,1094
785,522,785+522,1307
622,435,622+435,1057
958,92,958+92,1050
771,830,771+830,1601
780,731,780+731,1511
924,9,924+9,933
21,955,21+955,976
979,201,979+201,1180
852,978,852+978,1830
243,947,243+947,1190
849,792,849+792,1641
520,573,520+573,1093
322,446,322+446,768
629,552,629+552,1181
163,42,163+42,205
474,424,474+424,898
832,265,832+265,1097
213,826,213+826,1039
991,802,991+802,1793
967,157,967+157,1124
791,395,791+395,1186
722,459,722+459,1181
592,156,592+156,748
916,9,916+9,925
196,99,196+99,295
317,271,317+271,588
812,981,812+981,1793
111,857,111+857,968
875,388,875+388,1263
538,137,538+137,675
135,285,135+285,420
603,376,603+376,979
601,457,601+457,1058
799,396,799+396,1195
841,486,841+486,1327
96,728,96+728,824
496,51,496+51,547
528,872,528+872,1400
307,105,307+105,412
482,417,482+417,899
564,575,564+575,1139
612,252,612+252,864
871,802,871+802,1673
398,649,398+649,1047
892,922,892+922,1814
462,835,462+835,1297
523,218,523+218,741
352,935,352+935,1287
290,84,290+84,374
530,284,530+284,814
30,726,30+726,756
782,180,782+180,962
974,505,974+505,1479
355,869,355+869,1224
305,300,305+300,605
957,230,957+230,1187
940,940,940+940,1880
838,149,838+149,987
852,195,852+195,1047
344,423,344+423,767
962,771,962+771,1733
231,200,231+200,431
131,726,131+726,857
153,339,153+339,492
890,866,890+866,1756
991,666,991+666,1657
109,700,109+700,809
242,472,242+472,714
359,723,359+723,1082
692,521,692+521,1213
341,714,341+714,1055
898,920,898+920,1818
790,38,790+38,828
468,91,468+91,559
364,6,364+6,370
855,488,855+488,1343
162,468,162+468,630
170,635,170+635,805
978,899,978+899,1877
291,575,291+575,866
917,511,917+511,1428
58,577,58+577,635
59,384,59+384,443
263,696,263+696,959
963,575,963+575,1538
438,630,438+630,1068
530,561,530+561,1091
84,892,84+892,976
292,992,292+992,1284
194,72,194+72,266
584,106,584+106,690
584,403,584+403,987
816,694,816+694,1510
271,412,271+412,683
99,347,99+347,446
725,968,725+968,1693
54,928,54+928,982
722,968,722+968,1690
836,624,836+624,1460
220,43,220+43,263
55,164,55+164,219
420,740,420+740,1160
875,561,875+561,1436
997,248,997+248,1245
235,244,235+244,479
369,8,369+8,377
451,764,451+764,1215
909,160,909+160,1069
159,321,159+321,480
933,351,933+351,1284
621,487,621+487,1108
439,365,439+365,804
452,877,452+877,1329
541,55,541+55,596
475,333,475+333,808
243,411,243+411,654
425,774,425+774,1199
4,180,4+180,184
720,89,720+89,809
827,939,827+939,1766
155,949,155+949,1104
120,971,120+971,1091
310,183,310+183,493
897,119,897+119,1016
389,214,389+214,603
930,499,930+499,1429
205,833,205+833,1038
381,500,381+500,881
735,566,735+566,1301
35,25,35+25,60
288,775,288+775,1063
509,244,509+244,753
584,134,584+134,718
288,815,288+815,1103
717,317,717+317,1034
705,62,705+62,767
626,904,626+904,1530
475,600,475+600,1075
811,511,811+511,1322
295,413,295+413,708
859,792,859+792,1651
49,907,49+907,956
830,66,830+66,896
743,776,743+776,1519
778,63,778+63,841
586,732,586+732,1318
292,803,292+803,1095
552,396,552+396,948
719,134,719+134,853
507,567,507+567,1074
846,207,846+207,1053
156,537,156+537,693
627,718,627+718,1345
775,467,775+467,1242
665,548,665+548,1213
454,266,454+266,720
376,423,376+423,799
620,921,620+921,1541
231,13,231+13,244
149,618,149+618,767
690,440,690+440,1130
981,441,981+441,1422
363,241,363+241,604
145,947,145+947,1092
870,43,870+43,913
4,290,4+290,294
235,232,235+232,467
800,52,800+52,852
580,418,580+418,998
994,598,994+598,1592
785,6,785+6,791
60,992,60+992,1052
476,44,476+44,520
885,138,885+138,1023
728,852,728+852,1580
594,338,594+338,932
254,586,254+586,840
589,148,589+148,737
631,230,631+230,861
19,426,19+426,445
405,723,405+723,1128
694,713,694+713,1407
538,794,538+794,1332
323,486,323+486,809
821,845,821+845,1666
9,487,9+487,496
201,108,201+108,309
818,189,818+189,1007
223,615,223+615,838
95,177,95+177,272
730,837,730+837,1567
501,838,501+838,1339
820,63,820+63,883
665,630,665+630,1295
580,253,580+253,833
728,164,728+164,892
686,128,686+128,814
308,657,308+657,965
518,178,518+178,696
73,379,73+379,452
822,11,822+11,833
639,707,639+707,1346
624,236,624+236,860
687,382,687+382,1069
395,281,395+281,676
601,25,601+25,626
986,864,986+864,1850
122,92,122+92,214
51,953,51+953,1004
905,514,905+514,1419
568,202,568+202,770
810,1,810+1,811
435,55,435+55,490
436,661,436+661,1097
664,862,664+862,1526
682,891,682+891,1573
193,486,193+486,679
828,759,828+759,1587
93,864,93+864,957
641,874,641+874,1515
609,540,609+540,1149
934,811,934+811,1745
600,44,600+44,644
554,313,554+313,867
575,484,575+484,1059
41,553,41+553,594
617,946,617+946,1563
721,33,721+33,754
912,306,912+306,1218
925,130,925+130,1055
275,650,275+650,925
927,838,927+838,1765
54,674,54+674,728
51,818,51+818,869
230,646,230+646,876
90,742,90+742,832
153,215,153+215,368
561,428,561+428,989
446,863,446+863,1309
414,242,414+242,656
111,144,111+144,255
935,684,935+684,1619
919,854,919+854,1773
842,812,842+812,1654
988,793,988+793,1781
511,594,511+594,1105
770,318,770+318,1088
523,862,523+862,1385
67,986,67+986,1053
726,499,726+499,1225
855,259,855+259,1114
114,373,114+373,487
437,987,437+987,1424
787,952,787+952,1739
670,205,670+205,875
270,388,270+388,658
784,858,784+858,1642
370,479,370+479,849
107,603,107+603,710
954,986,954+986,1940
849,300,849+300,1149
215,101,215+101,316
