a,b,expr,sum
142,55,142+55,197
123,474,123+474,597
729,845,729+845,1574
103,560,103+560,663
632,62,632+62,694
368,417,368+417,785
66,841,66+841,907
716,152,716+152,868
894,46,894+46,940
508,970,508+970,1478
715,723,715+723,1438
324,284,324+284,608
904,918,904+918,1822
711,455,711+455,1166
213,582,213+582,795
67,431,67+431,498
754,568,754+568,1322
727,706,727+706,1433
636,71,636+71,707
62,664,62+664,726
40,560,40+560,600
530,635,530+635,1165
422,602,422+602,1024
709,546,709+546,1255
996,904,996+904,1900
592,542,592+542,1134
814,490,814+490,1304
707,646,707+646,1353
267,203,267+203,470
833,743,833+743,1576
958,822,958+822,1780
941,910,941+910,1851
850,874,850+874,1724
903,979,903+979,1882
394,471,394+471,865
110,735,110+735,845
256,824,256+824,1080
967,600,967+600,1567
115,574,115+574,689
669,326,669+326,995
704,29,704+29,733
759,837,759+837,1596
898,688,898+688,1586
698,777,698+777,1475
212,913,212+913,1125
278,934,278+934,1212
251,171,251+171,422
967,105,967+105,1072
425,406,425+406,831
430,609,430+609,1039
454,8,454+8,462
14,436,14+436,450
129,729,129+729,858
361,723,361+723,1084
83,644,83+644,727
620,794,620+794,1414
369,180,369+180,549
726,837,726+837,1563
750,134,750+134,884
566,231,566+231,797
571,497,571+497,1068
380,410,380+410,790
166,52,166+52,218
110,893,110+893,1003
951,122,951+122,1073
87,260,87+260,347
101,822,101+822,923
579,164,579+164,743
177,742,177+742,919
53,430,53+430,483
740,167,740+167,907
817,122,817+122,939
913,207,913+207,1120
759,808,759+808,1567
148,550,148+550,698
170,970,170+970,1140
845,555,845+555,1400
303,716,303+716,1019
74,56,74+56,130
719,800,719+800,1519
756,295,756+295,1051
239,732,239+732,971
444,637,444+637,1081
137,143,137+143,280
863,519,863+519,1382
853,707,853+707,1560
545,477,545+477,1022
264,648,264+648,912
584,176,584+176,760
743,694,743+694,1437
894,562,894+562,1456
856,8,856+8,864
13,694,13+694,707
852,949,852+949,1801
859,49,859+49,908
248,769,248+769,1017
438,594,438+594,1032
628,24,628+24,652
768,164,768+164,932
712,37,712+37,749
654,623,654+623,1277
179,806,179+806,985
164,996,164+996,1160
417,693,417+693,1110
253,597,253+597,850
266,454,266+454,720
126,362,126+362,488
907,108,907+108,1015
373,137,373+137,510
801,987,801+987,1788
679,843,679+843,1522
753,2,753+2,755
602,420,602+420,1022
378,387,378+387,765
10,428,10+428,438
791,10,791+10,801
564,397,564+397,961
967,911,967+911,1878
723,384,723+384,1107
357,752,357+752,1109
805,782,805+782,1587
439,891,439+891,1330
702,746,702+746,1448
244,799,244+799,1043
593,268,593+268,861
794,24,794+24,818
913,355,913+355,1268
537,644,537+644,1181
387,277,387+277,664
565,632,565+632,1197
802,17,802+17,819
567,82,567+82,649
203,399,203+399,602
894,876,894+876,1770
598,442,598+442,1040
507,197,507+197,704
186,600,186+600,786
228,935,228+935,1163
656,197,656+197,853
950,95,950+95,1045
246,532,246+532,778
531,824,531+824,1355
687,891,687+891,1578
699,411,699+411,1110
996,233,996+233,1229
137,755,137+755,892
555,504,555+504,1059
958,434,958+434,1392
601,176,601+176,777
657,193,657+193,850
219,254,219+254,473
939,178,939+178,1117
200,206,200+206,406
340,528,340+528,868
860,198,860+198,1058
138,536,138+536,674
19,306,19+306,325
488,290,488+290,778
152,461,152+461,613
579,130,579+130,709
802,427,802+427,1229
628,549,628+549,1177
92,236,92+236,328
467,664,467+664,1131
196,78,196+78,274
711,568,711+568,1279
468,796,468+796,1264
971,904,971+904,1875
736,919,736+919,1655
518,798,518+798,1316
733,319,733+319,1052
708,770,708+770,1478
589,772,589+772,1361
890,126,890+126,1016
62,583,62+583,645
541,525,541+525,1066
828,876,828+876,1704
306,26,306+26,332
762,497,762+497,1259
545,158,545+158,703
128,988,128+988,1116
276,906,276+906,1182
684,750,684+750,1434
847,324,847+324,1171
412,208,412+208,620
557,582,557+582,1139
804,262,804+262,1066
600,501,600+501,1101
749,343,749+343,1092
743,294,743+294,1037
740,245,740+245,985
458,869,458+869,1327
498,865,498+865,1363
109,486,109+486,595
720,780,720+780,1500
55,795,55+795,850
130,249,130+249,379
393,993,393+993,1386
283,140,283+140,423
571,476,571+476,1047
904,22,904+22,926
816,985,816+985,1801
390,464,390+464,854
824,680,824+680,1504
795,213,795+213,1008
168,128,168+128,296
286,331,286+331,617
948,807,948+807,1755
947,595,947+595,1542
970,329,970+329,1299
157,356,157+356,513
668,805,668+805,1473
969,541,969+541,1510
374,635,374+635,1009
786,154,786+154,940
959,215,959+215,1174
231,307,231+307,538
718,649,718+649,1367
27,391,27+391,418
460,465,460+465,925
80,877,80+877,957
695,985,695+985,1680
925,671,925+671,1596
969,686,969+686,1655
817,924,817+924,1741
30,473,30+473,503
222,593,222+593,815
118,718,118+718,836
914,936,914+936,1850
503,851,503+851,1354
822,198,822+198,1020
637,735,637+735,1372
741,606,741+606,1347
96,534,96+534,630
349,175,349+175,524
949,172,949+172,1121
715,842,715+842,1557
951,522,951+522,1473
766,760,766+760,1526
130,280,130+280,410
226,665,226+665,891
952,470,952+470,1422
547,397,547+397,944
897,447,897+447,1344
666,233,666+233,899
597,621,597+621,1218
636,533,636+533,1169
725,240,725+240,965
214,909,214+909,1123
17,997,17+997,1014
863,575,863+575,1438
458,39,458+39,497
185,660,185+660,845
473,18,473+18,491
144,159,144+159,303
963,733,963+733,1696
496,340,496+340,836
989,714,989+714,1703
949,835,949+835,1784
186,577,186+577,763
986,427,986+427,1413
439,641,439+641,1080
293,958,293+958,1251
268,905,268+905,1173
371,571,371+571,942
301,790,301+790,1091
160,320,160+320,480
96,942,96+942,1038
682,717,682+717,1399
523,83,523+83,606
498,993,498+993,1491
507,805,507+805,1312
518,343,518+343,861
45,179,45+179,224
372,640,372+640,1012
82,280,82+280,362
945,957,945+957,1902
900,95,900+95,995
64,711,64+711,775
673,151,673+151,824
602,231,602+231,833
382,155,382+155,537
618,875,618+875,1493
776,939,776+939,1715
822,294,822+294,1116
691,204,691+204,895
364,489,364+489,853
279,480,279+480,759
31,191,31+191,222
990,738,990+738,1728
930,567,930+567,1497
515,831,515+831,1346
918,538,918+538,1456
21,183,21+183,204
25,45,25+45,70
293,150,293+150,443
696,515,696+515,1211
524,26,524+26,550
516,586,516+586,1102
535,328,535+328,863
530,38,530+38,568
190,973,190+973,1163
397,966,397+966,1363
761,831,761+831,1592
390,863,390+863,1253
675,99,675+99,774
437,524,437+524,961
125,754,125+754,879
182,855,182+855,1037
719,135,719+135,854
191,642,191+642,833
115,306,115+306,421
807,502,807+502,1309
295,578,295+578,873
576,80,576+80,656
888,810,888+810,1698
820,476,820+476,1296
655,730,655+730,1385
980,957,980+957,1937
456,87,456+87,543
720,493,720+493,1213
432,957,432+957,1389
135,228,135+228,363
742,28,742+28,770
69,659,69+659,728
842,492,842+492,1334
959,980,959+980,1939
248,303,248+303,551
70,300,70+300,370
411,686,411+686,1097
833,66,833+66,899
488,707,488+707,1195
358,921,358+921,1279
543,496,543+496,1039
599,879,599+879,1478
659,931,659+931,1590
634,158,634+158,792
695,267,695+267,962
410,576,410+576,986
801,643,801+643,1444
125,648,125+648,773
215,542,215+542,757
992,947,992+947,1939
567,772,567+772,1339
795,625,795+625,1420
994,106,994+106,1100
280,896,280+896,1176
715,270,715+270,985
750,964,750+964,1714
682,369,682+369,1051
907,923,907+923,1830
917,179,917+179,1096
990,596,990+596,1586
589,490,589+490,1079
487,847,487+847,1334
827,639,827+639,1466
922,867,922+867,1789
446,923,446+923,1369
768,50,768+50,818
150,675,150+675,825
82,13,82+13,95
438,956,438+956,1394
619,507,619+507,1126
649,771,649+771,1420
99,928,99+928,1027
734,655,734+655,1389
736,726,736+726,1462
72,159,72+159,231
598,499,598+499,1097
136,918,136+918,1054
326,28,326+28,354
680,965,680+965,1645
297,196,297+196,493
876,866,876+866,1742
73,801,73+801,874
384,880,384+880,1264
263,330,263+330,593
677,763,677+763,1440
414,937,414+937,1351
95,214,95+214,309
15,224,15+224,239
135,793,135+793,928
26,111,26+111,137
230,658,230+658,888
344,44,344+44,388
429,558,429+558,987
756,129,756+129,885
27,627,27+627,654
940,301,940+301,1241
513,727,513+727,1240
340,309,340+309,649
84,311,84+311,395
92,233,92+233,325
814,122,814+122,936
299,560,299+560,859
730,129,730+129,859
333,393,333+393,726
488,602,488+602,1090
582,452,582+452,1034
452,944,452+944,1396
952,30,952+30,982
398,531,398+531,929
379,513,379+513,892
616,365,616+365,981
821,967,821+967,1788
814,541,814+541,1355
827,343,827+343,1170
678,314,678+314,992
944,865,944+865,1809
562,252,562+252,814
256,50,256+50,306
894,985,894+985,1879
835,223,835+223,1058
931,203,931+203,1134
163,278,163+278,441
728,621,728+621,1349
421,40,421+40,461
109,136,109+136,245
189,331,189+331,520
345,904,345+904,1249
132,906,132+906,1038
641,817,641+817,1458
162,198,162+198,360
387,364,387+364,751
471,521,471+521,992
101,260,101+260,361
234,653,234+653,887
708,143,708+143,851
821,70,821+70,891
951,102,951+102,1053
253,62,253+62,315
403,761,403+761,1164
266,99,266+99,365
105,507,105+507,612
384,354,384+354,738
873,324,873+324,1197
625,623,625+623,1248
845,280,845+280,1125
408,947,408+947,1355
182,100,182+100,282
568,185,568+185,753
754,571,754+571,1325
14,240,14+240,254
791,483,791+483,1274
85,202,85+202,287
819,283,819+283,1102
175,189,175+189,364
215,260,215+260,475
775,898,775+898,1673
452,584,452+584,1036
404,543,404+543,947
948,798,948+798,1746
526,420,526+420,946
375,228,375+228,603
871,935,871+935,1806
687,677,687+677,1364
642,892,642+892,1534
780,749,780+749,1529
812,768,812+768,1580
542,100,542+100,642
201,760,201+760,961
913,872,913+872,1785
376,658,376+658,1034
38,927,38+927,965
597,240,597+240,837
605,69,605+69,674
429,575,429+575,1004
283,139,283+139,422
244,705,244+705,949
685,707,685+707,1392
8,565,8+565,573
792,90,792+90,882
828,973,828+973,1801
887,115,887+115,1002
937,65,937+65,1002
766,310,766+310,1076
299,191,299+191,490
65,336,65+336,401
97,513,97+513,610
77,141,77+141,218
709,712,709+712,1421
967,820,967+820,1787
246,859,246+859,1105
472,247,472+247,719
477,751,477+751,1228
939,903,939+903,1842
591,525,591+525,1116
754,434,754+434,1188
35,12,35+12,47
119,828,119+828,947
502,879,502+879,1381
322,908,322+908,1230
964,859,964+859,1823
904,600,904+600,1504
547,145,547+145,692
897,440,897+440,1337
889,384,889+384,1273
818,128,818+128,946
299,770,299+770,1069
570,218,570+218,788
937,354,937+354,1291
767,858,767+858,1625
191,198,191+198,389
490,627,490+627,1117
865,97,865+97,962
163,519,163+519,682
787,56,787+56,843
994,770,994+770,1764
647,381,647+381,1028
151,427,151+427,578
259,39,259+39,298
662,351,662+351,1013
921,437,921+437,1358
93,536,93+536,629
306,471,306+471,777
544,414,544+414,958
174,308,174+308,482
339,933,339+933,1272
829,598,829+598,1427
267,950,267+950,1217
123,414,123+414,537
518,890,518+890,1408
719,873,719+873,1592
474,932,474+932,1406
101,200,101+200,301
678,261,678+261,939
702,156,702+156,858
800,439,800+439,1239
916,512,916+512,1428
503,745,503+745,1248
514,29,514+29,543
357,988,357+988,1345
906,149,906+149,1055
851,6,851+6,857
738,95,738+95,833
31,802,31+802,833
480,254,480+254,734
945,152,945+152,1097
579,75,579+75,654
306,352,306+352,658
921,590,921+590,1511
509,946,509+946,1455
61,407,61+407,468
39,860,39+860,899
811,832,811+832,1643
246,880,246+880,1126
469,529,469+529,998
581,680,581+680,1261
557,346,557+346,903
113,868,113+868,981
174,289,174+289,463
926,784,926+784,1710
868,984,868+984,1852
107,917,107+917,1024
724,925,724+925,1649
698,523,698+523,1221
256,309,256+309,565
494,239,494+239,733
258,959,258+959,1217
97,349,97+349,446
131,326,131+326,457
203,22,203+22,225
931,270,931+270,1201
166,372,166+372,538
101,663,101+663,764
960,316,960+316,1276
253,933,253+933,1186
403,296,403+296,699
965,475,965+475,1440
701,887,701+887,1588
816,180,816+180,996
74,959,74+959,1033
792,821,792+821,1613
841,490,841+490,1331
76,214,76+214,290
532,922,532+922,1454
650,476,650+476,1126
674,134,674+134,808
771,270,771+270,1041
427,766,427+766,1193
688,312,688+312,1000
242,848,242+848,1090
305,268,305+268,573
388,147,388+147,535
989,766,989+766,1755
635,756,635+756,1391
489,22,489+22,511
257,601,257+601,858
171,914,171+914,1085
27,619,27+619,646
434,484,434+484,918
338,680,338+680,1018
202,977,202+977,1179
929,544,929+544,1473
620,344,620+344,964
124,86,124+86,210
893,990,893+990,1883
488,698,488+698,1186
660,927,660+927,1587
658,122,658+122,780
223,852,223+852,1075
546,765,546+765,1311
528,574,528+574,1102
628,148,628+148,776
733,600,733+600,1333
281,386,281+386,667
192,801,192+801,993
471,285,471+285,756
302,947,302+947,1249
823,884,823+884,1707
883,793,883+793,1676
417,115,417+115,532
371,651,371+651,1022
855,811,855+811,1666
50,326,50+326,376
198,506,198+506,704
697,814,697+814,1511
176,377,176+377,553
706,401,706+401,1107
999,607,999+607,1606
410,305,410+305,715
950,314,950+314,1264
541,962,541+962,1503
493,891,493+891,1384
692,871,692+871,1563
387,198,387+198,585
259,689,259+689,948
54,220,54+220,274
95,445,95+445,540
851,972,851+972,1823
904,610,904+610,1514
44,76,44+76,120
167,888,167+888,1055
933,365,933+365,1298
126,834,126+834,960
478,629,478+629,1107
357,255,357+255,612
870,437,870+437,1307
800,109,800+109,909
